,x,y,i
0,14,331,1
1,15,331,1
2,16,331,1
3,14,332,1
4,17,332,1
5,18,332,1
6,19,332,1
7,20,332,1
8,21,332,1
9,22,332,1
10,23,332,1
11,24,332,1
12,14,333,1
13,25,333,1
14,26,333,1
15,14,334,1
16,27,334,1
17,14,335,1
18,27,335,1
19,11,336,1
20,12,336,1
21,13,336,1
22,27,336,1
23,11,337,1
24,27,337,1
25,11,338,1
26,27,338,1
27,11,339,1
28,28,339,1
29,11,340,1
30,27,340,1
31,11,341,1
32,27,341,1
33,11,342,1
34,27,342,1
35,11,343,1
36,23,343,1
37,24,343,1
38,25,343,1
39,26,343,1
40,27,343,1
41,11,344,1
42,22,344,1
43,11,345,1
44,22,345,1
45,11,346,1
46,12,346,1
47,13,346,1
48,14,346,1
49,15,346,1
50,16,346,1
51,17,346,1
52,18,346,1
53,19,346,1
54,20,346,1
55,21,346,1
56,22,346,1
0,80,292,2
1,81,292,2
2,82,292,2
3,80,293,2
4,83,293,2
5,81,294,2
6,84,294,2
7,81,295,2
8,85,295,2
9,82,296,2
10,86,296,2
11,82,297,2
12,87,297,2
13,88,297,2
14,83,298,2
15,89,298,2
16,84,299,2
17,90,299,2
18,85,300,2
19,91,300,2
20,85,301,2
21,92,301,2
22,86,302,2
23,93,302,2
24,94,302,2
25,87,303,2
26,95,303,2
27,88,304,2
28,89,304,2
29,96,304,2
30,97,304,2
31,90,305,2
32,98,305,2
33,91,306,2
34,99,306,2
35,91,307,2
36,99,307,2
37,92,308,2
38,99,308,2
39,93,309,2
40,94,309,2
41,99,309,2
42,95,310,2
43,99,310,2
44,96,311,2
45,100,311,2
46,96,312,2
47,101,312,2
48,97,313,2
49,102,313,2
50,103,313,2
51,98,314,2
52,104,314,2
53,99,315,2
54,105,315,2
55,100,316,2
56,106,316,2
57,107,316,2
58,108,316,2
59,101,317,2
60,108,317,2
61,101,318,2
62,108,318,2
63,102,319,2
64,108,319,2
65,102,320,2
66,108,320,2
67,103,321,2
68,108,321,2
69,104,322,2
70,108,322,2
71,104,323,2
72,108,323,2
73,105,324,2
74,108,324,2
75,106,325,2
76,108,325,2
77,107,326,2
78,108,326,2
79,108,327,2
0,54,291,3
1,55,291,3
2,52,292,3
3,53,292,3
4,56,292,3
5,57,292,3
6,51,293,3
7,58,293,3
8,50,294,3
9,59,294,3
10,48,295,3
11,49,295,3
12,59,295,3
13,48,296,3
14,60,296,3
15,46,297,3
16,47,297,3
17,60,297,3
18,45,298,3
19,61,298,3
20,44,299,3
21,61,299,3
22,42,300,3
23,43,300,3
24,62,300,3
25,41,301,3
26,62,301,3
27,39,302,3
28,40,302,3
29,63,302,3
30,37,303,3
31,38,303,3
32,64,303,3
33,36,304,3
34,64,304,3
35,34,305,3
36,35,305,3
37,65,305,3
38,30,306,3
39,31,306,3
40,32,306,3
41,33,306,3
42,66,306,3
43,29,307,3
44,67,307,3
45,29,308,3
46,68,308,3
47,29,309,3
48,69,309,3
49,29,310,3
50,70,310,3
51,30,311,3
52,71,311,3
53,31,312,3
54,32,312,3
55,72,312,3
56,73,312,3
57,74,312,3
58,33,313,3
59,34,313,3
60,35,313,3
